City,Link,Living Area,Rent(pm)
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001535389/puntenburgerlaan,42 m²,€825 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001535390/stadsring,32 m²,€670 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001535388/everard-meysterweg,87 m²,€950 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001535384/stadsring,69 m²,"€1,030 "
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001535383/boldershof,66 m²,€895 
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001534430/ionische-zee,101 m²,"€1,500 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001533951/stuurboord,125 m²,€993 
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001530709/normapad,121 m²,€970 
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001533537/zeeuwsestraat,86 m²,€999 
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001533255/grote-koppel,116 m²,"€1,450 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001533247/bruggensingel-zuid,97 m²,€857 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001533190/genemuidengracht,70 m²,"€1,295 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001530042/parelvisserspad,121 m²,€991 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001531817/zeelt,87 m²,"€1,295 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001514209/de-boeg,152 m²,"€1,199 "
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001529425/groningerstraat,39 m²,€875 
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001519767/kasteel,137 m²,"€1,066 "
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001527815/smallepad,73 m²,€965 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001527204/ganzenstraat,75 m²,€643 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001527205/trekvogelweg,94 m²,€880 
Amersfoort,https://www.pararius.com/apartment-for-rent/amersfoort/PR0001525546/piet-mondriaanlaan,60 m²,"€1,150 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001524425/hendrik-van-viandenstraat,190 m²,"€2,500 "
Amersfoort,https://www.pararius.com/house-for-rent/amersfoort/PR0001499319/mignonpad,123 m²,€965 
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535962/jane-addamslaan,145 m²,"€2,600 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535959/schouwenselaan,190 m²,"€4,700 "
Amstelveen,https://www.pararius.com/villa-for-rent/amstelveen/PR0001535926/catharina-van-clevelaan,185 m²,"€4,500 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535726/kringloop,90 m²,"€1,750 "
Amstelveen,https://www.pararius.com/bungalow-for-rent/amstelveen/PR0001489761/jacob-de-graeflaan,171 m²,"€3,500 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001526599/felix-de-nobelhof,95 m²,"€1,800 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535635/populierenlaan,55 m²,"€1,295 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535621/meander,85 m²,"€1,750 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001521611/max-havelaarlaan,140 m²,"€2,250 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535564/ko-van-dijklaan,120 m²,"€1,750 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535531/logger,65 m²,"€1,575 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535528/randwijcklaan,180 m²,"€4,500 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001514154/marjoleinlaan,160 m²,"€2,600 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535448/boschplaat,95 m²,"€1,700 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535325/etna,100 m²,"€1,695 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535315/oostermeerweg,150 m²,"€2,100 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535292/fie-carelsenlaan,81 m²,"€1,950 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535266/kamerlingh-onnesstraat,115 m²,"€2,500 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535265/nieuwe-karselaan,110 m²,"€2,195 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535235/veenendaalplein,180 m²,"€3,500 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535206/noorddammerlaan,120 m²,"€2,200 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535177/praam,65 m²,"€1,425 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001535031/zeelandiahoeve,100 m²,"€1,800 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001535027/bertus-aafjeslaan,130 m²,"€1,800 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001534962/logger,100 m²,"€1,595 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001534880/kringloop,90 m²,"€1,750 "
Amstelveen,https://www.pararius.com/house-for-rent/amstelveen/PR0001534811/korianderlaan,143 m²,"€2,295 "
Amstelveen,https://www.pararius.com/villa-for-rent/amstelveen/PR0001534640/slingerduin,320 m²,"€5,250 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001534560/groenhof,85 m²,"€2,000 "
Amstelveen,https://www.pararius.com/apartment-for-rent/amstelveen/PR0001534551/pruimenlaan,81 m²,"€1,950 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535964/oudezijds-voorburgwal,100 m²,"€2,600 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535960/rubensstraat,190 m²,"€4,950 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535953/frieslandstraat,55 m²,"€1,750 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535951/noorderstraat,45 m²,"€1,500 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535927/warmoesstraat,80 m²,"€1,950 "
Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/PR0001535924/wilhelminastraat,77 m²,"€1,925 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535923/nassaukade,55 m²,"€1,750 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535916/beemsterstraat,80 m²,"€1,375 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535913/wagenaarstraat,75 m²,"€1,600 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535892/johan-jongkindstraat,90 m²,"€1,500 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535891/muntplein,64 m²,"€1,750 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535881/wildenborch,75 m²,"€1,750 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535880/omval,85 m²,"€1,800 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535876/nassaukade,176 m²,"€3,450 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535874/mauritskade,52 m²,"€1,495 "
Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/PR0001535875/b-merkelbachsingel,168 m²,"€2,850 "
Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/PR0001535869/bart-de-ligtstraat,76 m²,"€1,367 "
Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/PR0001535866/john-blankensteinstraat,76 m²,"€1,188 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535854/keizersgracht,135 m²,"€3,650 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535856/tolstraat,70 m²,"€1,600 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535857/hofmeyrstraat,55 m²,"€1,600 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535853/brouwersgracht,90 m²,"€1,900 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535831/uiterwaardenstraat,67 m²,"€1,950 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535832/pijnackerstraat,60 m²,"€1,750 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535830/ruyschstraat,162 m²,"€3,350 "
Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/PR0001535828/oostelijke-handelskade,105 m²,"€2,000 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535829/daniel-defoelaan,37 m²,"€1,000 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535827/bos-en-lommerweg,50 m²,"€1,350 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535826/rhenenhof,102 m²,"€1,500 "
Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/PR0001535825/dirk-schaferstraat,94 m²,"€2,350 "
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535940/prins-willem-alexanderlaan,50 m²,€685 
Apeldoorn,https://www.pararius.com/house-for-rent/apeldoorn/PR0001535884/parsivalstraat,120 m²,"€1,025 "
Apeldoorn,https://www.pararius.com/room-for-rent/apeldoorn/PR0001535883/deventerstraat,22 m²,€465 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535459/hoofdstraat,35 m²,€600 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535412/tuinstraat,49 m²,€637 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535411/langeweg,70 m²,€875 
Apeldoorn,https://www.pararius.com/room-for-rent/apeldoorn/PR0001535408/kervelstraat,20 m²,€375 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535409/deventerstraat,44 m²,€681 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535410/hoofdstraat,79 m²,€850 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535405/hoofdstraat,36 m²,€585 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535406/kalverstraat,31 m²,€510 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535407/korianderstraat,93 m²,€805 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001535404/berkel,65 m²,€675 
Apeldoorn,https://www.pararius.com/house-for-rent/apeldoorn/PR0001535371/agricolastraat,215 m²,€900 
Apeldoorn,https://www.pararius.com/house-for-rent/apeldoorn/PR0001535270/muldersdreef,110 m²,€825 
Apeldoorn,https://www.pararius.com/house-for-rent/apeldoorn/PR0001528221/disselhof,116 m²,€961 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534627/kobaltstraat,65 m²,€800 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534376/hoofdstraat,33 m²,€610 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534371/kanaalstraat,45 m²,€655 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534372/kanaalstraat,44 m²,€655 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534373/deventerstraat,57 m²,€770 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534374/marktplein,56 m²,€825 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001534370/deventerstraat,60 m²,€785 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001533327/bariumstraat,50 m²,€850 
Apeldoorn,https://www.pararius.com/house-for-rent/apeldoorn/PR0001530038/disselhof,132 m²,"€1,191 "
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001532783/hoofdstraat,85 m²,€900 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001532656/loolaan,40 m²,€885 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001532483/adelaarslaan,85 m²,€750 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001532267/hofdwarsstraat,37 m²,€750 
Apeldoorn,https://www.pararius.com/apartment-for-rent/apeldoorn/PR0001532263/mergelland,82 m²,€800 
Arnhem,https://www.pararius.com/house-for-rent/arnhem/PR0001535865/drentesingel,132 m²,€915 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535802/zijpendaalseweg,39 m²,€600 
Arnhem,https://www.pararius.com/house-for-rent/arnhem/PR0001529474/veerpolderstraat,85 m²,€868 
Arnhem,https://www.pararius.com/house-for-rent/arnhem/PR0001532499/veerpolderstraat,85 m²,€900 
Arnhem,https://www.pararius.com/house-for-rent/arnhem/PR0001532501/minervasingel,111 m²,€919 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535711/zwanenstraat,45 m²,€825 
Arnhem,https://www.pararius.com/room-for-rent/arnhem/PR0001535697/singravenlaan,10 m²,€340 
Arnhem,https://www.pararius.com/room-for-rent/arnhem/PR0001535645/huissensestraat,23 m²,€420 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535628/amsterdamseweg,88 m²,"€1,225 "
Arnhem,https://www.pararius.com/room-for-rent/arnhem/PR0001535458/noordelijke-parallelweg,12 m²,€349 
Arnhem,https://www.pararius.com/house-for-rent/arnhem/PR0001532152/auroraplantsoen,110 m²,€901 
Arnhem,https://www.pararius.com/room-for-rent/arnhem/PR0001535429/karel-van-gelderstraat,18 m²,€395 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535418/driekoningendwarsstraat,52 m²,€835 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535416/st-nicolailaan,50 m²,€625 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535415/looierstraat,115 m²,€935 
Arnhem,https://www.pararius.com/apartment-for-rent/arnhem/PR0001535413/spijkerstraat,30 m²,€550 
Arnhem,https://www.pararius.com/room-for-rent/arnhem/PR0001535414/klarendalseweg,25 m²,€460 
